,SiO2_Cpx,TiO2_Cpx,Al2O3_Cpx,FeOt_Cpx,MnO_Cpx,MgO_Cpx,CaO_Cpx,Na2O_Cpx,K2O_Cpx,Cr2O3_Cpx,Sample_ID_Cpx
143,49.4,0.75,5.46,8.86,0.25,16.29,17.33,0.39,0.0,0.0,143
144,50.1,0.91,4.32,9.64,0.24,15.69,17.0,0.32,0.0,0.0,144
145,49.6,1.02,5.79,9.14,0.23,15.44,17.04,0.5,0.0,0.0,145
146,50.5,0.5,7.99,7.45,0.21,17.26,14.88,0.54,0.0,0.0,146
147,50.6,0.44,8.54,7.51,0.2,17.88,13.88,0.64,0.0,0.0,147
148,49.9,0.47,8.64,8.39,0.23,17.18,14.05,0.62,0.0,0.0,148
149,50.4,0.66,7.65,8.95,0.22,16.71,14.77,0.63,0.0,0.0,149
150,51.2,0.17,7.3,5.8,0.0,19.6,14.4,0.32,0.0,1.1,150
151,53.0,0.11,4.5,5.1,0.2,24.7,10.9,0.16,0.0,1.5,151
152,51.67,0.16,5.62,4.45,0.16,21.82,14.34,0.22,0.0,1.56,152
153,51.8,0.17,5.1,4.6,0.19,21.5,14.9,0.21,0.0,1.58,153
154,53.1,0.11,4.3,5.2,0.2,24.7,10.6,0.15,0.0,1.68,154
155,52.9,0.16,4.6,5.0,0.0,20.9,15.1,0.32,0.0,1.1,155
156,52.3,0.21,5.5,5.3,0.0,19.9,16.0,0.26,0.0,1.0,156
157,51.5,0.24,6.1,5.1,0.1,20.5,14.9,0.35,0.0,1.6,157
158,50.55,0.29,4.74,5.87,0.16,16.14,20.78,0.35,0.0,0.45,158
159,51.27,0.38,3.85,7.16,0.2,16.45,19.41,0.44,0.0,0.26,159
160,51.45,0.47,3.43,7.67,0.24,16.61,18.99,0.42,0.0,0.25,160
161,50.77,0.17,4.08,4.56,0.1,16.2,23.03,0.25,0.0,0.35,161
162,48.77,0.41,5.71,7.2,0.18,15.27,20.93,0.36,0.0,0.12,162
163,51.82,0.24,4.05,5.95,0.15,17.25,20.57,0.36,0.0,0.4,163
164,51.52,0.34,3.78,6.91,0.2,16.95,19.79,0.4,0.0,0.38,164
165,51.51,0.29,3.83,6.06,0.15,17.6,19.71,0.23,0.0,0.41,165
166,50.72,0.26,4.05,5.63,0.1,16.49,22.3,0.21,0.0,0.09,166
167,51.17,0.22,4.18,6.6,0.24,17.4,20.01,0.32,0.0,0.0,167
168,52.33,0.15,3.24,6.81,0.3,16.97,20.22,0.33,0.0,0.09,168
169,52.03,0.5,3.14,7.12,0.22,16.58,19.96,0.41,0.0,0.27,169
170,51.58,0.45,3.18,7.49,0.2,16.57,19.96,0.37,0.0,0.26,170
171,51.82,0.18,3.71,3.34,0.0,17.29,22.05,0.3,0.0,1.31,171
172,52.4,0.19,3.22,3.6,0.11,17.71,21.58,0.28,0.0,0.86,172
173,50.59,0.29,4.98,5.69,0.11,15.53,22.3,0.37,0.0,0.49,173
