,Reference,Sample,T_C,T_K,T_sd,P_kbar,P_sd,SiO2_Amp,TiO2_Amp,Al2O3_Amp,Cr2O3_Amp,FeOt_Amp,MnO_Amp,MgO_Amp,CaO_Amp,Na2O_Amp,K2O_Amp,F_Amp,Cl_Amp,Total,Altot,SiO2_Amp_cat_prop,MgO_Amp_cat_prop,FeOt_Amp_cat_prop,CaO_Amp_cat_prop,Al2O3_Amp_cat_prop,Na2O_Amp_cat_prop,K2O_Amp_cat_prop,MnO_Amp_cat_prop,TiO2_Amp_cat_prop,Cr2O3_Amp_cat_prop,F_Amp_cat_prop,Cl_Amp_cat_prop,Si_Amp_13_cat,Mg_Amp_13_cat,Fet_Amp_13_cat,Ca_Amp_13_cat,Al_Amp_13_cat,Na_Amp_13_cat,K_Amp_13_cat,Mn_Amp_13_cat,Ti_Amp_13_cat,Cr_Amp_13_cat,F_Amp_13_cat,Cl_Amp_13_cat,cation_sum_Si_Mg,Si_T,Al_IV_T,Ti_T,Cr_C,Fe3_C,Mg_C,Fe2_C,Mn_C,Ca_B,Na_B,Na_A,K_A,Al_VI_C,Ti_C,Charge,Sum_input,H2O_calc,Fe3_calc,Fe2_calc,Fe2O3_calc,FeO_calc,"O=F,Cl",Total_recalc,Total,Fail Msg,Input_Check,Mgno_Fe2,Mgno_FeT,Na_calc,B_Sum,A_Sum,class,classification
45,Ague (1997),SC-69-40,710,983.15,40,4.4,0.6,43.72,1.16,9.8,,20.28,0.34,8.64,11.57,1.08,1.13,0.17,0.07,97.96,1.746,0.7276479595233339,0.21437078205637158,0.28227041171394374,0.20631608980188662,0.19223036258961762,0.034850513883734814,0.02399278093317055,0.0047929853250066965,0.01451851110165461,0.0,0.008948310348457732,0.001974445039911996,6.588117538000006,1.940910972698288,2.555673558253799,1.8679838674814646,1.740451830501077,0.31553621324816394,0.21723040487155276,0.04339564244739792,0.13145045809943107,0.0,0.08101791473552654,0.017876606159635926,1.4358310123099283,6.588117538000006,1.4118824619999941,0.0,0.0,0.5516778242174141,1.940910972698288,2.0039957340363848,0.04339564244739792,1.8679838674814646,0.1320161325185354,0.18352008072962855,0.21723040487155276,0.32856936850108287,0.13145045809943107,45.448322175782586,97.95999999999998,1.78478174914261,0.5516778242174141,2.0039957340363848,4.8651467971769495,15.902278816088884,-0.08737658172926364,100.14483078067916,,Low Mg# (<54),False,0.49200427715687167,0.431641162161657,0.1320161325185354,2.0,0.4007504856011813,N/A,low-Mg
46,Ague (1997),SC-69-41,695,968.15,40,4.7,0.6,43.99,0.9,9.86,,20.26,0.34,8.72,11.6,1.07,1.06,0.15,0.07,98.02,1.752,0.7321416683310032,0.21635569670504168,0.2819920385268491,0.206851049412436,0.19340728317690095,0.0345278239403669,0.02250650246828388,0.0047929853250066965,0.011264362061628577,0.0,0.007895567954521529,0.001974445039911996,6.609823274030537,1.953273500755781,2.545842724120711,1.8674649180680472,1.7460937097377882,0.31171947200181177,0.20319018882098638,0.04327138766126491,0.10169540369391689,0.0,0.07128170828803533,0.017825420055458712,1.4399540341264303,6.609823274030537,1.3901767259694626,0.0,0.0,0.5810294378544185,1.953273500755781,1.9648132862662924,0.04327138766126491,1.8674649180680472,0.13253508193195285,0.17918439006985892,0.20319018882098638,0.3559169837683256,0.10169540369391689,45.41897056214558,98.02,1.7991217034049547,0.5810294378544185,1.9648132862662924,5.138707025827187,15.636125830790965,-0.07895516894897098,100.25499939107412,,Low Mg# (<54),False,0.4985273698442905,0.4341460418283375,0.13253508193195285,2.0,0.3823745788908453,N/A,low-Mg
47,Ague (1997),SC-69-43A,720,993.15,40,4.7,0.6,43.9,1.24,10.26,,19.14,0.34,9.49,11.6,1.08,1.21,0.14,0.1,98.5,1.807,0.7306437653951134,0.23546050019849146,0.2664031400495504,0.206851049412436,0.2012534204254568,0.034850513883734814,0.025691384893041035,0.0047929853250066965,0.015519787729354927,0.0,0.007369196757553427,0.0028206357713028516,6.532247718317304,2.1051111198405823,2.3817507055578298,1.8493311782729434,1.799286134559461,0.31157754377894925,0.22969126446624075,0.04285120729973276,0.13875311442509114,0.0,0.06588356869004167,0.025217612814821468,1.4540735991229736,6.532247718317304,1.4677522816826958,0.0,0.0,0.618781035164659,2.1051111198405823,1.7629696703931708,0.04285120729973276,1.8493311782729434,0.15066882172705665,0.1609087220518926,0.22969126446624075,0.3315338528767653,0.13875311442509114,45.38121896483534,98.49999999999997,1.8148672838963027,0.618781035164659,1.7629696703931708,5.526249345030127,14.167410305614787,-0.08151356531458583,100.78701336922661,,,True,0.5442262543108278,0.4691722637689335,0.15066882172705665,2.0,0.3905999865181333,N/A,Mg-Hornblende
48,Ague (1997),SC-69-46,745,1018.15,40,5.6,0.6,42.93,0.88,11.11,,19.62,0.4,9.4,11.63,1.16,1.22,0.14,0.1,98.59,1.954,0.7144997004194128,0.2332274712187376,0.2730840965398213,0.20738600902298543,0.2179264620786379,0.03743203343067813,0.025903710388024845,0.005638806264713761,0.011014042904703498,0.0,0.007369196757553427,0.0028206357713028516,6.382132904223923,2.0832601012432854,2.439271838916089,1.8524361469771635,1.9465867424671535,0.3343545309951959,0.2313799744238614,0.05036756625852871,0.09838084689102043,0.0,0.06582395076789334,0.025194793442594773,1.455390579426027,6.382132904223923,1.6178670957760772,0.0,0.0,0.8217789559295738,2.0832601012432854,1.617492882986515,0.05036756625852871,1.8524361469771635,0.14756385302283648,0.18679067797235943,0.2313799744238614,0.32871964669107623,0.09838084689102043,45.178221044070426,98.59,1.8165894889079879,0.8217789559295738,1.617492882986515,7.345843432441025,13.010116321556533,-0.08151356531458583,101.06103567759098,,,True,0.5629287094061083,0.4606402185342822,0.14756385302283648,2.0,0.41817065239622087,N/A,Tschermakitic pargasite
49,Ague (1997),SC-69-47,760,1033.15,40,6.6,0.6,40.81,0.77,12.43,,21.17,0.32,8.12,11.67,1.39,1.45,0.12,0.09,98.34,2.217,0.6792157645962319,0.20146883684001585,0.2946580185396543,0.20809928850371798,0.24381871499887212,0.04485390212814017,0.030787196772652476,0.004511045011771009,0.009637287541615561,0.0,0.006316454363617222,0.0025385721941725663,6.160430742770758,1.8273056676140418,2.6725238291468134,1.8874433151726315,2.211415555754676,0.4068211781976039,0.27923732540973645,0.04091480472196768,0.08740939999174378,0.0,0.05728971804720669,0.023024639595961544,1.4333096675281607,6.160430742770758,1.8395692572292424,0.0,0.0,0.8319590247677198,1.8273056676140418,1.8405648043790936,0.04091480472196768,1.8874433151726315,0.11255668482736847,0.2942644933702354,0.27923732540973645,0.3718462985254338,0.08740939999174378,45.16804097523228,98.34000000000002,1.7990603010263817,0.8319590247677198,1.8405648043790936,7.324012213143268,14.579760331321227,-0.07083578494903943,100.80199706054185,,Low Mg# (<54),False,0.49819252930736035,0.40608331247426255,0.11255668482736847,2.0,0.5735018187799719,N/A,low-Mg
50,Ague (1997),SC-69-153,690,963.15,40,6.1,0.6,42.14,0.44,12.52,,19.56,0.37,8.36,11.35,1.43,1.31,0.14,0.06,97.68,2.232,0.7013514413154917,0.20742358078602618,0.2722489769785374,0.20239305265785765,0.24558409587979718,0.04614466190161184,0.027814639842879137,0.005215895794860228,0.005507021452351749,0.0,0.007369196757553427,0.0016923814627817107,6.343402222360104,1.8760511860644922,2.4623671726712293,1.8305523656043587,2.2211955487797073,0.41735730992112896,0.2515706645765585,0.04717538601568461,0.04980848410878034,0.0,0.06665100595101714,0.015306814386742489,1.4373310122070646,6.343402222360104,1.6565977776398961,0.0,0.0,0.6623503325761178,1.8760511860644922,1.8000168400951115,0.04717538601568461,1.8305523656043587,0.16944763439564126,0.2479096755254877,0.2515706645765585,0.5645977711398111,0.04980848410878034,45.33764966742388,97.68,1.8025632933979279,0.6623503325761178,1.8000168400951115,5.847249795419921,14.298570003297119,-0.07248809497357095,99.9958949971414,,Low Mg# (<54),False,0.5103418034470942,0.4324274495766243,0.16944763439564126,2.0,0.4994803401020462,N/A,Tschermakitic pargasite
51,Ague (1997),1011-34,690,963.15,40,2.4,0.6,44.77,1.3,7.6,,23.55,0.64,7.08,11.49,1.0,0.88,0.2,0.16,98.67,1.366,0.7451234937753811,0.17566494640730448,0.3277844278039139,0.20488953084042155,0.1490766077225606,0.03226899433679149,0.018684643558575298,0.009022090023542017,0.01627074520013017,0.0,0.010527423939362039,0.004513017234084563,6.807447740259932,1.604874832766677,2.994638312959705,1.8718706165813137,1.3619637883441698,0.2948095106563256,0.1707028910414799,0.08242580841464807,0.14864951725486827,0.0,0.09617853806173496,0.041230922429060235,1.4229423109328323,6.807447740259932,1.1925522597400677,0.0,0.0,0.5165880617657947,1.604874832766677,2.47805025119391,0.08242580841464807,1.8718706165813137,0.1281293834186863,0.1666801272376393,0.1707028910414799,0.16941152860410202,0.14864951725486827,45.483411938234205,98.66999999999999,1.7329269643224845,0.5165880617657947,2.47805025119391,4.514802441818336,19.48752313862547,-0.12031600916698612,100.73493653559929,,Low Mg# (<54),False,0.3930698701946031,0.34892276245755266,0.1281293834186863,2.0,0.3373830182791192,N/A,low-Mg
52,Ague (1997),1011-49,715,988.15,40,5.4,0.6,45.06,1.26,10.64,,16.65,0.37,10.92,11.76,1.23,0.75,0.04,0.07,98.75,1.838,0.749950069902137,0.27094084954346964,0.23174567825627032,0.20970416733536618,0.20870725081158484,0.03969086303425354,0.015924412123785765,0.005215895794860228,0.015770106886280007,0.0,0.0021054847878724074,0.001974445039911996,6.5770455211914065,2.3761452562171352,2.032404471180014,1.8391009080487497,1.8303579721909085,0.348087990692132,0.1396567420148631,0.04574329072475869,0.13830348849577742,0.0,0.01846505500802194,0.01731583931752465,1.482329851194602,6.5770455211914065,1.4229544788085935,0.0,0.0,0.5729974596302299,2.3761452562171352,1.4594070115497844,0.04574329072475869,1.8391009080487497,0.1608990919512503,0.18718889874088168,0.1396567420148631,0.40740349338231496,0.13830348849577742,45.42700254036977,98.75000000000001,1.9037519403336967,0.5729974596302299,1.4594070115497844,5.2168054822345375,11.955851842913841,-0.03263739865736136,101.14377186682474,,,True,0.6195053776703037,0.5389856989591074,0.1608990919512503,2.0,0.3268456407557448,N/A,Mg-Hornblende
53,Ague (1997),1011-60,730,1003.15,40,2.4,0.6,47.54,1.05,6.21,,14.58,0.88,13.44,11.75,1.28,0.63,0.34,0.05,97.75,1.076,0.7912256174688769,0.333465660976578,0.2029340533919773,0.20952584746518305,0.1218112807838291,0.041304312751093114,0.013376506183980043,0.012405373782370274,0.013141755738566673,0.0,0.017896620696915465,0.0014103178856514258,6.97359078152047,2.9390517799196094,1.7885910323758472,1.8466888408487856,1.0736027828279033,0.3640420232594295,0.11789593025560005,0.10933670288229258,0.11582692047387759,0.0,0.15773466677131107,0.012430057355643046,1.474983742142198,6.97359078152047,1.0264092184795297,0.0,0.0,0.5722461779708041,2.9390517799196094,1.216344854405043,0.10933670288229258,1.8466888408487856,0.1533111591512144,0.21073086410821512,0.11789593025560005,0.04719356434837363,0.11582692047387759,45.427753822029196,97.74999999999999,1.764715915618748,0.5722461779708041,1.216344854405043,5.184146031331055,9.91523923368241,-0.15444585519124382,99.87965532544096,,,True,0.7072854984870229,0.6216738227930092,0.1533111591512144,2.0,0.32862679436381514,N/A,Mg-Hornblende
54,Ague (1997),1011-62,700,973.15,40,1.6,0.6,50.05,0.64,5.07,,14.33,0.92,14.55,11.74,1.07,0.45,0.18,0.01,99.01,0.858,0.8330004660142466,0.36100635172687573,0.19945438855329453,0.20934752759499992,0.09944978962544503,0.0345278239403669,0.00955464727427146,0.01296925440884165,0.008010213021602543,0.0,0.009474681545425833,0.00028206357713028517,7.153097479866634,3.1000146219716496,1.7127441607991978,1.797698000364016,0.8539899658722055,0.29649550089074417,0.08204716098854725,0.1113688945115762,0.0687848769787364,0.0,0.08136048351738297,0.002422121409351413,1.513890463350306,7.153097479866634,0.8469025201333658,0.0,0.0,0.7283066578297408,3.1000146219716496,0.984437502969457,0.1113688945115762,1.797698000364016,0.20230199963598405,0.09419350125476011,0.08204716098854725,0.007087445738839793,0.0687848769787364,45.27169334217026,99.01,1.8967705800702117,0.7283066578297408,0.984437502969457,6.771982478832255,8.236483732030205,-0.07804908260788765,101.50718770832479,,,True,0.7589793017873476,0.6441242459666511,0.20230199963598405,2.0,0.17624066224330737,N/A,Mg-Hornblende
55,Ague (1997),1011-175,765,1038.15,40,7.1,0.6,39.79,0.84,12.36,,22.16,1.26,6.97,11.59,1.53,1.58,0.18,0.15,98.41,2.228,0.6622395313228147,0.17293568876538307,0.30843749130083786,0.20667272954225288,0.24244564098037485,0.049371561335290984,0.03354742820744201,0.017762239733848346,0.010513404590853339,0.0,0.009474681545425833,0.004230953656954277,6.087044451536678,1.58955661053533,2.8350357102941754,1.8996541766862218,2.2284646625987405,0.4538039097264208,0.3083547222340213,0.163263498635937,0.09663506639913774,0.0,0.08708753404672266,0.03888925647617121,1.4143339966941122,6.087044451536678,1.912955548463322,0.0,0.0,0.8427093161967463,1.58955661053533,1.9923263940974292,0.163263498635937,1.8996541766862218,0.10034582331377817,0.35345808641264265,0.3083547222340213,0.3155091141354185,0.09663506639913774,45.157290683803254,98.41000000000003,1.7330157887643773,0.8427093161967463,1.9923263940974292,7.320434655922293,15.572979462970448,-0.10963822880143972,100.76679167885571,,Low Mg# (<54),False,0.44377680914742856,0.35925493136446207,0.10034582331377817,2.0,0.6618128086466639,N/A,low-Mg
56,Ague (1997),1011-188,720,993.15,40,5.1,0.6,44.23,0.84,9.14,,20.56,0.63,9.22,11.64,1.35,0.98,0.08,0.02,98.69,1.612,0.7361360761600425,0.22876141325922986,0.28616763633326836,0.2075643288931686,0.1792842361295005,0.04356314235466852,0.0208078985084134,0.008881119866924173,0.010513404590853339,0.0,0.004210969575744815,0.0005641271542605703,6.601006619342561,2.051326720803228,2.5660941269598028,1.8612503222370578,1.607659871267216,0.39063510179062466,0.1865865296333925,0.07963789974069378,0.09427476188649854,0.0,0.03776018992078093,0.005058585226320736,1.4497438863398187,6.601006619342561,1.3989933806574388,0.0,0.0,0.7020550903765326,2.051326720803228,1.8640390365832702,0.07963789974069378,1.8612503222370578,0.13874967776294223,0.25188542402768244,0.1865865296333925,0.20866649060977727,0.09427476188649854,45.29794490962347,98.68999999999998,1.8552306060854862,0.7020550903765326,1.8640390365832702,6.251288915396918,14.93501044622919,-0.03819838629167808,101.13333158141988,,Low Mg# (<54),False,0.5239170100349669,0.4442581234060612,0.13874967776294223,2.0,0.43847195366107494,N/A,Mg-Hornblende
57,Ague (1997),1011-263,665,938.15,40,1.2,0.6,50.74,0.58,4.38,,12.58,0.57,15.28,12.29,0.75,0.41,0.29,0.03,97.9,0.745,0.8444843885227348,0.37911869789599045,0.17509673468251538,0.2191551204550723,0.08591520287168623,0.02420174575259362,0.008705345294336218,0.008035298927217108,0.007259255550827305,0.0,0.015264764712074953,0.0008461907313908554,7.319305915849518,3.2858934588162434,1.5175965162003304,1.8994588786200406,0.7446433127558229,0.20976110780534052,0.0754508741408575,0.06964345554863523,0.06291734082944901,0.0,0.13230260284217593,0.007334095112214593,1.4999095784509713,7.319305915849518,0.680694084150482,0.0,0.0,0.40678043469996084,3.2858934588162434,1.1108160815003696,0.06964345554863523,1.8994588786200406,0.10054112137995941,0.10921998642538111,0.0754508741408575,0.0639492286053408,0.06291734082944901,45.59321956530004,97.89999999999999,1.8244770967048878,0.40678043469996084,1.1108160815003696,3.747418764897481,9.208024765543152,-0.1288795880700047,99.9710410390755,,,True,0.747352862108699,0.6840637694481512,0.10054112137995941,2.0,0.1846708605662386,N/A,Mg-Hornblende
58,Ague (1997),1011-311,745,1018.15,40,3.9,0.6,43.95,1.27,9.42,,19.34,0.5,9.82,11.96,1.19,1.07,0.09,0.07,98.68,1.656,0.73147593369283,0.24364827312425566,0.2691868719204966,0.2132705647390289,0.18477653220348958,0.03840010326078187,0.022718827963267692,0.0070485078308922,0.015895266464742548,0.0,0.004737340772712917,0.001974445039911996,6.548885399234415,2.181376782085862,2.4100232064859863,1.9094059328169455,1.6542995854416611,0.3437951462108278,0.20340108796913753,0.06310511104183963,0.14230991571023616,0.0,0.04241329124936815,0.017677156141271456,1.4520313852367066,6.548885399234415,1.4511146007655853,0.0,0.0,0.5973016848551751,2.181376782085862,1.8127215216308112,0.06310511104183963,1.9094059328169455,0.09059406718305452,0.2532010790277733,0.20340108796913753,0.20318498467607582,0.14230991571023616,45.402698315144825,98.68,1.8417600935945353,0.5973016848551751,1.8127215216308112,5.326928112050826,14.546762095066052,-0.053690930608093004,101.00175937010331,,,True,0.5461499983753532,0.47510057662486027,0.09059406718305452,2.0,0.4566021669969108,N/A,Mg-Hornblende
59,Ague (1997),1011-376,745,1018.15,40,2.9,0.6,45.91,1.11,7.26,,19.05,0.59,10.58,11.56,1.11,0.74,0.13,0.09,98.13,1.276,0.7640969309633179,0.2625049622866217,0.26515046070762466,0.2061377699317035,0.14240739106128814,0.03581858371383856,0.015712086628801955,0.008317239240452795,0.013892713209341913,0.0,0.006842825560585325,0.0025385721941725663,6.8205621963903695,2.343199337130913,2.3668138627096966,1.840048590526127,1.2711717958802153,0.3197276001342549,0.14025087622287796,0.07424221357655243,0.12401059431225428,0.0,0.06108114748763806,0.022660069473845825,1.4563696974686469,6.8205621963903695,1.1794378036096305,0.0,0.0,0.6996069653051435,2.343199337130913,1.667206897404553,0.07424221357655243,1.840048590526127,0.15995140947387299,0.1597761906603819,0.14025087622287796,0.09173399227058487,0.12401059431225428,45.30039303469486,98.13,1.8247415696204805,0.6996069653051435,1.667206897404553,6.257960985098592,13.419006832753336,-0.07504649133918577,100.50666289613324,,,True,0.5842797961345008,0.4974931571763342,0.15995140947387299,2.0,0.30002706688325986,N/A,Mg-Hornblende
60,Ague (1997),1011-385,740,1013.15,40,4.3,0.6,45.77,1.31,7.58,,18.32,0.51,10.93,11.42,1.29,0.71,0.1,0.12,98.06,1.33,0.7617668597297117,0.2711889638745534,0.25498983937867103,0.2036412917491396,0.1486843008601328,0.04162700269446103,0.015075110143850523,0.007189477987510045,0.016395904778592707,0.0,0.005263711969681019,0.0033847629255634214,6.781855292428173,2.414340144113542,2.2701226361031743,1.812976968695959,1.323706065458212,0.37059673169756996,0.13421063703045033,0.06400645908472712,0.145969402812169,0.0,0.04686175622298,0.030133855348461584,1.4602153466091718,6.781855292428173,1.2181447075718266,0.0,0.0,0.6898832379411743,2.414340144113542,1.580239398162,0.06400645908472712,1.812976968695959,0.18702303130404108,0.18357370039352888,0.13421063703045033,0.10556135788638543,0.145969402812169,45.310116762058826,98.06000000000002,1.8360003397254931,0.6898832379411743,1.580239398162,6.187277492129808,12.752608741888293,-0.06918347492450794,100.44670309881909,,,True,0.6044040727095386,0.515393174711455,0.18702303130404108,2.0,0.3177843374239792,N/A,Mg-Hornblende
61,Ague (1997),1011-415,740,1013.15,40,5.2,0.6,42.23,1.78,9.97,,23.41,0.5,6.53,11.41,1.35,1.39,0.22,0.11,98.9,1.802,0.7028493442513813,0.1620186581976975,0.32583581549425156,0.20346297187895648,0.19556497092025385,0.04356314235466852,0.029513243802749615,0.0070485078308922,0.022278404966332075,0.0,0.01158016633329824,0.0031026993484331365,6.454555820244564,1.4878842554402907,2.9922848709244163,1.8684845053734196,1.7959539005243974,0.40005832876312825,0.2710323074488092,0.06472935859729974,0.20459179426903407,0.0,0.10634545029789065,0.02849336959861403,1.4155957016608083,6.454555820244564,1.5454441797554361,0.0,0.0,0.47769122348962156,1.4878842554402907,2.5145936474347947,0.06472935859729974,1.8684845053734196,0.1315154946265804,0.26854283413654784,0.2710323074488092,0.2505097207689613,0.20459179426903407,45.52230877651038,98.89999999999999,1.7263592515694173,0.47769122348962156,2.5145936474347947,4.153302753049538,19.67280517254451,-0.11745558402101017,100.92501159314246,,Low Mg# (<54),False,0.3717407794735117,0.33210448388755087,0.1315154946265804,2.0,0.539575141585357,N/A,low-Mg
62,Ague (1997),GC33,735,1008.15,40,7.4,0.6,39.69,1.41,13.74,,22.42,0.54,5.7,11.42,1.38,1.93,,,98.23,2.494,0.6605751947273816,0.14142516871774513,0.312056342733068,0.2036412917491396,0.26951481448789244,0.04453121218477226,0.04097882053187537,0.007612388457363577,0.017647500563218104,0.0,0.0,0.0,6.095461438757856,1.3050015641968007,2.8795017115867125,1.8791012001411835,2.4869495130874752,0.4109120185862345,0.37813230401561,0.07024335861998984,0.1628424137511663,0.0,0.0,0.0,1.4088314096866688,6.095461438757856,1.904538561242144,0.0,0.0,0.44919605901027637,1.3050015641968007,2.430305652576436,0.07024335861998984,1.8791012001411835,0.12089879985881646,0.29001321872741803,0.37813230401561,0.5824109518453313,0.1628424137511663,45.550803940989724,98.23,1.842317997282567,0.44919605901027637,2.430305652576436,3.8868882576083568,18.92252833589708,-0.0,100.46173459078801,,Low Mg# (<54),False,0.34936927231493764,0.31186534653923775,0.12089879985881646,2.0,0.668145522743028,N/A,low-Mg
63,Hammarstrom and Zen (1986),EC1-426,710,983.15,40,8.0,0.6,41.93,0.88,12.53,,18.19,0.55,9.56,11.15,1.86,1.58,0.05,0.25,98.53,2.214,0.6978563344650822,0.23719730051607782,0.253180413662556,0.198826655254195,0.24578024931101106,0.06002032946643218,0.03354742820744201,0.007753358613981421,0.011014042904703498,0.0,0.0026318559848405097,0.007051589428257128,6.244663152994309,2.122524607672789,2.2655471078732874,1.7791706209139506,2.199327842718065,0.537082951517382,0.3001941495097472,0.06937977124732024,0.09855751749422825,0.0,0.023550770095278714,0.06310009452939172,1.4527816994734122,6.244663152994309,1.7553368470056911,0.0,0.0,0.7186124734498307,2.122524607672789,1.5469346344234567,0.06937977124732024,1.7791706209139506,0.22082937908604938,0.31625357243133256,0.3001941495097472,0.44399099571237377,0.09855751749422825,45.28138752655017,98.53,1.817482167146209,0.7186124734498307,1.5469346344234567,6.412128310461986,12.420285105692223,-0.07746272158207465,100.91243286171833,,,True,0.578429808763936,0.4837032631333488,0.22082937908604938,2.0,0.6164477219410798,N/A,Mg-hastingsite
64,Hammarstrom and Zen (1986),AK-1-313,730,1003.15,40,8.0,0.6,41.91,1.27,11.46,,19.4,0.87,8.87,10.85,2.03,1.6,0.26,0.19,98.71,2.044,0.6975234671459956,0.2200774116712981,0.27002199148178047,0.19347705914870092,0.22479183217112428,0.06550605850368672,0.03397207919740963,0.01226440362575243,0.015895266464742548,0.0,0.01368565112117065,0.005359207965475418,6.294576139640373,1.9860178038856076,2.43672659747753,1.7459714797384702,2.0285615750820916,0.591138352013165,0.3065701000784105,0.11067616512667364,0.14344171878772413,0.0,0.12350175594125579,0.04836244825551008,1.4405743725606934,6.294576139640373,1.7054238603596268,0.0,0.0,0.7057512964931902,1.9860178038856076,1.7309753009843396,0.11067616512667364,1.7459714797384702,0.2540285202615298,0.3371098317516352,0.3065701000784105,0.3231377147224648,0.14344171878772413,45.29424870350681,98.71,1.7219467234197998,0.7057512964931902,1.7309753009843396,6.244453870242797,13.781160707097282,-0.15234935026362526,100.90521195049627,,Low Mg# (<54),False,0.5343076373436253,0.4490464796639606,0.2540285202615298,2.0,0.6436799318300457,N/A,Mg-hastingsite
65,Hammarstrom and Zen (1986),7-30-5-398,690,963.15,40,8.0,0.6,41.59,0.69,13.39,,19.84,0.47,7.51,12.21,1.52,1.48,0.05,0.0,98.75,2.38,0.6921975900406099,0.1863338626439063,0.2761462015978621,0.21772856149360725,0.2626494443954061,0.04904887139192307,0.03142417325760391,0.006625597361038668,0.008636010913915242,0.0,0.0026318559848405097,0.0,6.281334361254877,1.6908832260191033,2.505883651985705,1.9757738461010166,2.38340757578855,0.4450930856849451,0.2851580850569471,0.06012386198179366,0.07836732296997083,0.0,0.023882728962525156,0.0,1.4325887069527383,6.281334361254877,1.7186656387451231,0.0,0.0,0.21539019281782856,1.6908832260191033,2.2904934591678763,0.06012386198179366,1.9757738461010166,0.024226153898983416,0.4208669317859617,0.2851580850569471,0.6647419370434267,0.07836732296997083,45.78460980718217,98.75000000000001,1.851014456297821,0.21539019281782856,2.2904934591678763,1.8951977882194195,18.13467684099401,-0.02105353195073165,100.76983555356053,,Low Mg# (<54),False,0.42469812824045644,0.4029013941377103,0.024226153898983416,2.0,0.7060250168429087,N/A,low-Mg
66,Hammarstrom and Zen (1986),7435-53,761,1034.15,40,1.0,0.4,46.65,1.14,6.69,,15.74,0.9,12.74,11.68,1.42,0.87,0.76,0.03,98.62,1.164,0.7764130217695226,0.3160976578007146,0.21907969824346518,0.2082776083739011,0.13122664548209612,0.04582197195824392,0.018472318063591488,0.01268731409560596,0.01426819194472953,0.0,0.040004210969575744,0.0008461907313908554,6.867300266907806,2.79585409945399,1.9377393578388942,1.842195887334815,1.1606873561841509,0.4052910389652132,0.16338591859187604,0.11221810174760531,0.1262008178675542,0.0,0.353833489349119,0.007484477555890782,1.469772529336134,6.867300266907806,1.1326997330921937,0.0,0.0,0.5992417420384157,2.79585409945399,1.3384976158004784,0.11221810174760531,1.842195887334815,0.15780411266518501,0.24748692630002816,0.16338591859187604,0.027987623091957126,0.1262008178675542,45.400758257961584,98.62,1.5747818162121128,0.5992417420384157,1.3384976158004784,5.409526795538967,10.872438745423441,-0.32678278840688224,100.40996456876763,,,True,0.6762496981420716,0.5906409421676283,0.15780411266518501,2.0,0.41087284489190423,N/A,Mg-Hornblende
67,Hammarstrom and Zen (1986),IVP-249,750,1023.15,40,2.0,0.6,47.12,0.93,7.6,,13.48,0.74,13.58,12.15,1.32,0.5,0.24,0.13,97.79,1.31,0.784235403768058,0.3369392616117507,0.18762352810177324,0.21665864227250842,0.1490766077225606,0.04259507252456477,0.01061627474919051,0.010431791589720456,0.011639840797016196,0.0,0.012632908727234445,0.003666826502693707,6.888803552333914,2.959708744542059,1.6481041542867936,1.903151550362956,1.3095040850167914,0.3741594494577622,0.09325443719244028,0.09163391835562562,0.10224554546481737,0.0,0.11096875517012626,0.03220977695750567,1.4799464335908792,6.888803552333914,1.111196447666086,0.0,0.0,0.43468073200962465,2.959708744542059,1.213423422277169,0.09163391835562562,1.903151550362956,0.09684844963704409,0.2773109998207181,0.09325443719244028,0.19830763735070533,0.10224554546481737,45.565319267990375,97.78999999999998,1.796766817549068,0.43468073200962465,1.213423422277169,3.9511496483312456,9.924705116330832,-0.13038973197181025,99.8522318502393,,,True,0.7092295729511862,0.6423239852673522,0.09684844963704409,2.0,0.37056543701315836,N/A,Mg-Hornblende
