,SiO2_Cpx,TiO2_Cpx,Al2O3_Cpx,FeOt_Cpx,MnO_Cpx,MgO_Cpx,CaO_Cpx,Na2O_Cpx,K2O_Cpx,Cr2O3_Cpx,Sample_ID_Cpx
204,43.83,0.81,6.76,10.43,0.09,11.82,23.26,0.18,0.03,0.0,204
205,44.77,1.25,9.14,10.46,0.31,11.2,22.23,0.6,0.0,0.0,205
206,48.29,0.69,5.93,7.5,0.15,13.3,22.96,0.34,0.0,0.0,206
207,46.33,1.08,8.27,8.24,0.22,12.4,22.87,0.31,0.0,0.0,207
208,54.24,0.24,1.35,3.1,0.07,17.26,24.43,0.11,0.0,0.0,208
209,44.94,1.2,9.86,8.88,0.2,11.38,22.9,0.39,0.0,0.0,209
210,51.22,0.82,4.01,5.55,0.1,14.81,24.15,0.11,0.0,0.0,210
211,51.06,0.76,3.89,5.77,0.08,15.04,23.92,0.14,0.0,0.0,211
212,46.85,1.16,7.26,8.97,0.14,12.17,22.81,0.4,0.0,0.0,212
213,52.39,0.48,2.4,4.86,0.17,16.21,23.9,0.07,0.0,0.0,213
214,46.33,0.88,8.08,7.51,0.09,12.24,23.79,0.25,0.0,0.0,214
215,46.18,0.92,9.01,7.46,0.11,12.17,23.72,0.27,0.0,0.0,215
216,45.66,1.22,9.98,8.66,0.1,10.53,22.27,0.75,0.1,0.0,216
217,45.41,1.07,9.39,8.24,0.07,11.67,24.06,0.26,0.14,0.0,217
218,52.5,0.22,5.52,4.93,0.34,20.7,15.6,0.35,0.0,0.57,218
219,51.7,0.19,7.4,3.8,0.08,17.7,18.8,0.6,0.0,0.6,219
220,51.9,0.2,8.8,5.1,0.11,20.9,12.8,0.62,0.0,0.29,220
221,51.5,0.15,7.7,3.8,0.07,18.1,18.3,0.6,0.0,0.48,221
222,51.0,0.17,8.0,3.9,0.1,17.8,18.1,0.66,0.0,0.37,222
223,52.7,0.12,6.2,4.1,0.09,19.4,17.3,0.48,0.0,0.26,223
224,51.6,0.19,7.1,4.1,0.06,18.2,18.4,0.45,0.0,0.32,224
225,51.5,0.2,8.7,4.6,0.11,20.6,13.9,0.63,0.0,0.31,225
226,53.1,0.17,6.0,3.6,0.1,19.0,18.0,0.76,0.0,0.18,226
227,48.16,1.92,6.84,5.23,0.22,13.03,24.05,0.32,0.1,0.06,227
228,45.21,2.45,8.2,7.21,0.13,12.1,22.87,0.43,0.06,0.0,228
229,41.85,3.04,12.69,6.99,0.19,10.35,24.36,0.27,0.1,0.0,229
230,44.66,2.74,7.78,8.31,0.13,12.39,23.21,0.87,0.45,0.0,230
231,51.7,0.46,2.67,4.92,0.14,17.0,20.8,0.19,0.0,0.99,231
232,51.7,0.45,2.81,5.37,0.2,17.2,20.4,0.25,0.0,0.86,232
233,51.6,0.75,3.42,8.03,0.2,16.4,19.2,0.25,0.0,0.47,233
234,52.3,0.41,3.02,4.35,0.12,18.0,19.6,0.21,0.0,1.01,234
235,52.6,0.42,2.64,6.55,0.17,17.2,19.6,0.22,0.0,0.64,235
236,52.6,0.39,2.66,6.98,0.18,17.4,18.9,0.21,0.0,0.41,236
237,52.2,0.16,2.69,4.72,0.09,18.0,20.8,0.1,0.0,1.08,237
238,53.0,0.43,2.29,8.16,0.21,17.5,18.5,0.13,0.0,0.39,238
239,51.1,0.79,2.47,7.98,0.24,16.5,19.1,0.29,0.0,0.32,239
240,50.1,1.04,3.28,11.3,0.33,14.5,18.9,0.34,0.0,0.05,240
241,51.9,0.71,2.76,8.73,0.26,15.4,20.3,0.28,0.0,0.09,241
242,51.4,0.7,2.94,7.75,0.2,15.4,20.8,0.31,0.0,0.15,242
243,53.5,0.38,2.21,5.89,0.14,19.0,18.9,0.19,0.0,0.6,243
244,53.6,0.27,1.79,4.72,0.14,18.4,20.9,0.14,0.0,0.7,244
245,52.7,0.42,2.36,5.69,0.17,17.1,21.5,0.17,0.0,0.49,245
246,52.8,0.5,2.23,6.28,0.16,17.9,19.8,0.17,0.0,0.44,246
247,52.3,0.58,2.39,7.22,0.16,16.1,20.3,0.28,0.0,0.18,247
248,52.5,0.59,3.14,6.23,0.15,16.4,20.9,0.28,0.0,0.63,248
249,51.8,0.63,3.02,6.86,0.18,16.0,20.9,0.28,0.0,0.54,249
250,51.7,0.4,3.59,4.6,0.11,16.5,21.9,0.24,0.0,0.77,250
251,52.2,0.24,5.84,4.59,0.1,19.6,15.8,0.62,0.0,0.32,251
252,53.1,0.24,2.38,6.56,0.17,16.9,20.2,0.22,0.0,0.25,252
253,52.1,0.25,2.58,6.71,0.21,16.8,20.9,0.25,0.0,0.11,253
254,54.9,0.38,1.09,14.9,0.38,24.6,4.9,0.12,0.0,0.15,254
255,53.2,0.43,1.07,19.3,0.5,22.1,3.89,0.07,0.02,0.05,255
256,53.9,0.35,1.25,17.1,0.44,22.8,4.56,0.25,0.03,0.04,256
257,51.7,0.71,1.95,11.7,0.39,16.9,16.1,0.25,0.0,0.25,257
258,54.2,0.28,1.22,13.9,0.37,26.1,4.03,0.05,0.0,0.05,258
259,56.0,0.11,0.54,3.64,0.09,22.8,17.8,0.12,0.0,0.03,259
260,52.6,0.92,3.63,7.25,0.08,17.7,18.2,0.35,0.0,0.23,260
261,51.9,1.02,3.35,7.98,0.16,16.8,18.0,0.34,0.0,0.2,261
262,51.4,0.5,6.03,4.78,0.09,18.7,17.7,0.1,0.0,0.55,262
263,52.1,0.8,4.28,7.77,0.21,19.2,14.8,0.44,0.0,0.17,263
264,51.0,0.69,5.83,6.04,0.27,18.3,16.1,0.41,0.0,0.36,264
265,52.0,0.69,4.04,7.34,0.17,18.7,15.9,0.43,0.0,0.21,265
266,52.0,0.85,3.05,7.15,0.18,17.0,19.2,0.34,0.0,0.41,266
267,52.8,0.73,2.47,7.21,0.19,17.9,18.6,0.33,0.0,0.31,267
268,52.4,0.95,2.13,8.67,0.27,18.0,16.7,0.3,0.0,0.17,268
269,51.9,0.53,5.56,6.19,0.08,18.5,17.2,0.3,0.0,0.37,269
270,52.0,0.92,4.4,6.49,0.0,18.1,18.2,0.35,0.0,0.2,270
271,51.9,0.37,5.33,6.19,0.13,19.2,16.2,0.27,0.0,0.44,271
272,51.4,0.55,5.47,5.76,0.21,18.2,17.4,0.32,0.0,0.28,272
273,52.04,0.47,6.43,5.47,0.02,18.21,16.95,0.84,0.0,0.03,273
274,52.94,0.28,7.48,5.72,0.05,20.11,12.89,1.05,0.0,0.0,274
275,51.55,0.6,9.9,6.65,0.13,17.4,13.33,1.46,0.0,0.0,275
276,51.68,0.36,8.77,6.35,0.11,18.99,13.09,1.12,0.0,0.0,276
277,52.73,0.33,6.47,6.01,0.12,21.08,12.91,0.81,0.0,0.0,277
278,52.59,0.46,7.81,6.15,0.11,19.4,14.2,0.91,0.0,0.0,278
279,52.6,0.3,7.26,6.15,0.17,19.4,13.3,1.04,0.0,0.51,279
280,52.6,0.2,7.33,5.19,0.18,21.9,11.6,0.77,0.0,0.84,280
281,53.3,0.2,6.82,4.99,0.18,21.2,12.6,0.96,0.0,0.63,281
282,53.3,0.2,6.82,4.99,0.18,21.2,12.6,0.96,0.0,0.63,282
283,52.1,0.22,7.54,4.6,0.18,20.9,12.9,0.91,0.0,0.54,283
284,51.7,0.35,8.05,5.13,0.14,18.4,14.5,1.3,0.0,0.42,284
285,51.7,0.35,8.05,5.13,0.14,18.4,14.5,1.3,0.0,0.42,285
286,51.2,0.31,8.4,5.79,0.18,20.0,13.0,0.84,0.0,0.61,286
287,52.2,0.27,7.71,4.82,0.16,20.0,13.8,1.01,0.0,0.62,287
288,52.1,0.2,7.74,4.97,0.18,21.1,12.6,0.73,0.0,0.93,288
289,52.8,0.23,7.23,4.83,0.17,20.4,13.6,0.96,0.0,0.62,289
290,52.8,0.23,7.23,4.83,0.17,20.4,13.6,0.96,0.0,0.62,290
291,52.4,0.27,7.28,5.08,0.16,19.5,14.3,1.09,0.0,0.58,291
292,52.4,0.27,7.28,5.08,0.16,19.5,14.3,1.09,0.0,0.58,292
293,52.3,0.25,7.65,5.04,0.17,20.0,13.8,0.9,0.0,0.9,293
294,52.72,0.66,3.77,7.21,0.24,16.62,19.92,0.35,0.0,0.0,294
295,52.67,0.6,3.16,6.37,0.17,16.78,20.75,0.26,0.0,0.0,295
296,51.0,1.0,3.75,9.28,0.2,15.3,19.22,0.36,0.0,0.0,296
297,49.8,1.28,6.18,10.68,0.32,14.08,17.44,0.69,0.0,0.0,297
