,SiO2_Amp,TiO2_Amp,Al2O3_Amp,FeOt_Amp,MnO_Amp,MgO_Amp,CaO_Amp,Na2O_Amp,K2O_Amp,Cr2O3_Amp,F_Amp,Cl_Amp,Sample_ID_Amp
84,47.97,1.73,8.36,17.63,0.27,12.1,9.44,1.29,0.59,0.0,0.0,0.0,84
85,45.43,1.9,11.42,13.59,0.23,12.64,10.97,1.81,0.71,0.0,0.0,0.0,85
86,45.76,1.56,12.23,16.75,0.33,10.61,10.42,1.61,0.74,0.0,0.0,0.0,86
87,53.68,0.98,10.77,13.81,0.28,9.65,8.2,1.37,0.71,0.0,0.0,0.0,87
88,45.27,1.45,10.42,8.84,0.17,16.51,11.9,1.72,1.17,0.0,0.0,0.0,88
89,46.67,1.58,10.41,9.92,0.25,16.08,10.99,1.74,1.09,0.0,0.0,0.0,89
90,45.2,1.93,11.03,14.73,0.26,12.9,10.67,1.71,1.03,0.0,0.0,0.0,90
91,45.47,1.77,11.58,15.24,0.27,11.77,10.46,1.62,0.57,0.0,0.0,0.0,91
92,46.05,1.87,11.03,16.31,0.25,10.65,9.76,1.6,0.68,0.0,0.0,0.0,92
93,41.01,0.66,19.97,20.3,0.8,5.97,6.9,1.99,0.38,0.0,0.0,0.0,93
94,42.9,1.51,12.2,9.05,0.0,16.2,10.97,2.42,0.41,0.0,0.0,0.0,94
95,44.9,1.55,10.9,8.7,0.0,16.6,11.18,2.1,0.4,0.0,0.0,0.0,95
96,43.4,1.59,12.3,9.39,0.0,16.2,10.99,2.4,0.37,0.0,0.0,0.0,96
97,42.8,1.74,11.9,8.88,0.0,16.4,11.12,2.44,0.4,0.0,0.0,0.0,97
98,45.4,1.49,10.2,7.62,0.0,17.1,11.24,2.1,0.4,0.0,0.0,0.0,98
99,42.9,1.57,11.9,7.72,0.0,17.3,11.5,2.3,0.31,0.0,0.0,0.0,99
100,46.4,1.39,10.6,8.1,0.0,17.4,11.42,2.0,0.38,0.0,0.0,0.0,100
101,44.6,1.68,12.2,9.96,0.0,15.6,11.17,2.1,0.37,0.0,0.0,0.0,101
102,44.9,1.67,12.0,9.31,0.0,16.0,11.26,2.1,0.39,0.0,0.0,0.0,102
103,38.99,5.24,13.83,12.79,0.1,11.47,9.52,2.45,0.93,0.0,0.0,0.0,103
104,41.86,4.16,13.95,12.56,0.15,11.71,10.38,2.46,0.89,0.0,0.0,0.0,104
105,39.62,6.15,13.53,14.58,0.16,11.74,9.45,2.5,0.83,0.0,0.0,0.0,105
106,39.8,5.25,13.2,13.67,0.17,9.94,9.95,2.39,1.08,0.0,0.0,0.0,106
107,37.96,5.56,14.55,16.89,0.18,9.09,9.12,2.64,0.74,0.0,0.0,0.0,107
108,39.45,5.31,13.12,18.43,0.3,7.77,10.44,2.83,1.06,0.0,0.0,0.0,108
109,38.62,4.72,13.07,19.45,0.3,6.68,9.64,2.76,0.94,0.0,0.0,0.0,109
110,38.49,6.44,12.88,17.56,0.29,7.74,10.34,2.4,1.03,0.0,0.0,0.0,110
111,41.68,5.04,10.92,15.79,0.21,10.99,9.75,1.8,0.92,0.0,0.0,0.0,111
112,39.74,5.83,11.24,19.09,0.3,7.23,10.29,2.57,0.96,0.0,0.0,0.0,112
113,38.85,4.56,10.6,22.07,0.35,6.67,10.53,2.68,0.83,0.0,0.0,0.0,113
114,39.29,6.2,14.6,10.04,0.16,11.69,10.84,2.59,2.03,0.0,0.0,0.0,114
115,38.76,5.45,15.87,11.3,0.21,10.88,10.66,2.66,2.01,0.0,0.0,0.0,115
116,37.93,4.33,16.6,15.63,0.29,7.95,10.0,3.09,1.81,0.0,0.0,0.0,116
117,37.78,3.89,15.29,17.46,0.38,7.42,10.24,3.24,1.67,0.0,0.0,0.0,117
118,39.2,3.25,14.12,21.37,0.51,5.24,8.92,3.69,1.68,0.0,0.0,0.0,118
119,38.17,4.84,16.2,13.66,0.29,9.38,10.38,2.99,1.85,0.0,0.0,0.0,119
120,47.25,1.02,10.49,12.35,0.4,13.26,10.15,1.82,0.4,0.0,0.0,0.0,120
121,49.07,0.85,9.57,12.13,0.41,13.87,9.65,1.66,0.46,0.0,0.0,0.0,121
122,48.86,1.06,8.71,13.96,0.52,13.76,8.79,1.67,0.31,0.0,0.0,0.0,122
123,46.68,1.67,9.95,11.13,0.27,14.17,10.44,2.09,0.4,0.0,0.0,0.0,123
