Sample_ID_Gt,SiO2_Gt,TiO2_Gt,Al2O3_Gt,Cr2O3_Gt,FeOt_Gt,MnO_Gt,MgO_Gt,CaO_Gt,Na2O_Gt,Ti_Gt,Ni_Gt,Zn_Gt,Ga_Gt,Sr_Gt,Y_Gt,Zr_Gt
173/034/K007/203,42.39,0,21.79,2.14,8.58,0.28,19.81,4.51,0,0,11.99,11.87,4.94,,18.4,16.28
COY553,42.33,0.09,21.67,3.53,6.8,0.51,21.18,4.77,-0.99,900,12,,0.75,,7.6,43.6
COY553,43.1,0.08,21.88,2.56,7.19,0.42,21.23,4.53,-0.99,800,12,,1.33,,2.47,11.9
COY553,42.83,0.12,22.29,2.2,8.39,0.6,19.28,4.7,-0.99,1200,12,,3,,14.3,19.8
COY553,42.37,0.09,21.13,3.76,6.78,0.36,21.41,4.79,-0.99,900,12,,0.96,,3.7,49.1
173/034/0021/2,42.34,0.02,22.39,2.49,8.07,0.48,19.22,4.63,0.07,119.896888676,12.01,7.98,2.17,,6.13,17.36
173/034/K001/167,43.44,0.1,21.15,3.26,7.69,0.24,19.45,4.67,0,599.484443379,12.07,11.87,4.97,,13.31,16.93
173/034/K001/167,42.73,0.09,21.58,2.65,8.23,0.2,19.62,4.79,0,539.535999041,12.08,12.59,4.53,,11.23,2.54
COY553,42.55,0.07,22.36,2.67,7,0.28,20.79,4.67,-0.99,700,12.1,,1.32,,2.1,7.8
COY553,42.11,0.07,21.26,3.45,6.6,0.45,21.17,3.98,-0.99,700,12.1,,0.93,,26.8,43.4
FrankSmith,41.6,0.37,21.7,3.25,6.55,0.28,21.6,4.72,0.06,2218.0924405,12.103,7.751,2.6988,,3.3998,12.73
173/034/K001/167,43.21,0.07,21.12,1.76,8.06,0.23,19.91,4.53,0,419.639110365,12.19,12.09,3.59,,9.99,1.35
COY553,42.51,0.07,22.21,2.45,7.13,0.44,20.39,4.93,-0.99,700,12.2,,1.35,,1.16,0.8
173/034/K001/167,42.37,0.08,21.5,3.59,8.52,0.38,19.28,5.16,0,479.587554703,12.21,12.04,4.84,,8.15,2.33
173/034/K001/167,43.9,0.11,19.22,3.26,7.73,0.28,19.52,4.86,0,659.432887717,12.26,11.95,5.16,,16.63,19.67
173/034/0021/2,41.82,0.06,22.43,2.72,8.33,0.46,20.06,4.6,0,359.690666027,12.29,3.34,2.91,,15.94,17.22
COY553,43.48,0.08,22.1,2.66,6.92,0.39,19.87,4.85,-0.99,800,12.3,,1.34,,3.3,19.8
COY553,42.16,0.17,21.54,2.92,7.73,0.49,20.37,4.51,-0.99,1700,12.3,,1.71,,26.8,35.1
COY553,43.3,0.09,22.27,2.72,7.06,0.4,20.65,4.66,-0.99,900,12.3,,1.31,,3.5,21.1
COY553,42.46,0.09,22.3,2.69,7.07,0.27,21.07,4.81,-0.99,900,12.3,,1.31,,1.61,3.3
COY553,42.68,0.11,21.29,3.41,6.6,0.46,21.83,4.29,-0.99,1100,12.3,,0.96,,23.1,42.3
