,Reference,Expename,T_K,T(C),DwellatstartT(h),fO2(bar),Fe2+(mol.Frac),Fe3+(mol.Frac),Fe3Fet_Liq,SiO2_Liq,TiO2_Liq,Al2O3_Liq,Cr2O3_Liq,MnO_Liq,FeOt_Liq,NiO_Liq,MgO_Liq,CaO_Liq,Na2O_Liq,K2O_Liq,P2O5_Liq,TOTAL_Liq,Unnamed: 22,Unnamed: 23,SiO2_Ol,TiO2_Ol,Al2O3_Ol,Cr2O3_Ol,MnO_Ol,FeOt_Ol,NiO_Ol,MgO_Ol,CaO_Ol,Na2O_Ol,K2O_Ol,P2O5_Ol,TOTAL_Ol
21,Shea_2022,k1820-GR18,1528.15,1255,24.0,1.51356124843621e-09,0.0830960694477877,0.00836019388297904,0.09141193373211644,49.78665,2.413086667,12.39793333,0.0,0.1688925,11.72493333,0.0,10.59536667,10.14198333,2.021268333,0.228682167,0.215064333,99.69386066,,,38.99048182,0.039660136,0.056169727,0.0,0.181519091,14.80770455,0.0,44.39900455,0.2605932,0.006644318,0.003273273,0.127914091,98.872964756
22,Helz&Thornber1987,15,1534.15,1261,,1.28812871309349e-07,0.0639144015718021,0.0160031549571422,0.20024579894839784,48.21,2.42,12.03,0.0,0.16,10.33,0.0,12.35,10.95,2.14,0.5,0.22,99.31,,,40.35,0.09,0.19,0.25,0.17,11.33,0.0,47.57,0.49,0.06,0.0,0.0,100.5
23,Helz&Thornber1987,1,1468.15,1195,,2.39577617653892e-08,0.0630470186352867,0.0169433998199961,0.21181786702951183,50.07,2.64,12.84,0.0,0.16,10.3,0.0,8.91,12.04,2.4,0.53,0.28,100.16999999999999,,,40.55666667,0.06,0.073333333,0.003333333,0.186666667,12.43333333,0.0,47.01666667,0.38,0.02,0.0,0.0,100.730000003
24,Helz&Thornber1987,2,1453.15,1180,,1.60016999265522e-08,0.0614518184243229,0.0167895528477534,0.21458663843415346,49.92,2.75,13.26,0.0,0.17,10.04,0.0,8.31,12.31,2.39,0.55,0.29,99.99000000000002,,,39.585,0.0825,0.1525,0.045,0.215,14.935,0.0,44.965,0.4025,0.0225,0.0,0.0,100.40500000000002
25,Helz&Thornber1987,3,1438.15,1165,,1.05981395805657e-08,0.0602098524715192,0.0166802855348297,0.21693660549097196,50.12,2.77,13.59,0.0,0.17,9.82,0.0,7.56,12.21,2.5,0.61,0.3,99.65,,,39.8425,0.0675,0.0425,0.0275,0.2125,14.9975,0.0,44.8625,0.375,0.0125,0.0,0.0,100.44000000000001
26,Helz&Thornber1987,7,1434.15,1161,,9.48158797483786e-09,0.0591407850210581,0.0161283767849652,0.21427602484175068,50.12,2.94,14.17,0.0,0.16,9.57,0.0,7.13,11.44,2.64,0.68,0.34,99.18999999999998,,,38.445,0.235,0.13,0.275,0.25,17.2,0.0,42.86,0.505,0.03,0.0,0.0,99.92999999999999
27,Helz&Thornber1987,22,1413.15,1140,,5.23071023335289e-09,0.0635825035452107,0.0167987219992132,0.20898812982055287,51.82,4.09,13.72,0.0,0.19,10.19,0.0,5.96,10.11,2.65,0.87,0.36,99.96,,,38.53,0.125,0.035,0.015,0.295,20.04,0.0,40.96,0.395,0.01,0.0,0.0,100.405
28,Helz&Thornber1987,25,1413.15,1140,,5.23071023335289e-09,0.0650068744221436,0.0171976287255979,0.2092054336085406,51.46,4.29,13.4,0.0,0.17,10.38,0.0,5.95,9.95,2.74,0.86,0.42,99.62,,,37.21,0.13,0.0,0.02,0.26,20.85,0.0,41.28,0.36,0.05,0.0,0.0,100.16
29,Helz&Thornber1987,19,1404.15,1131,,4.03168500134014e-09,0.071554052027584,0.0187116482337736,0.2072952204391637,51.14,4.36,12.93,0.0,0.18,11.31,0.0,5.62,9.56,2.77,0.93,0.4,99.20000000000003,,,38.85,0.32,0.12,0.04,0.26,20.35,0.0,40.33,0.48,0.06,0.0,0.0,100.81
30,Helz&Thornber1987,4,1403.15,1130,,3.91591510540595e-09,0.0721638307528658,0.0189231441714339,0.20774808019654287,50.58,3.99,12.99,0.0,0.2,11.42,0.0,6.05,10.08,2.67,0.75,0.34,99.07000000000001,,,38.44,0.205,0.09,0.045,0.34,19.645,0.0,40.075,0.54,0.035,0.0,0.0,99.415
